object_id,natural_week,start_date,quantity
1_1_5_14,5,4/10/2022,45
1_1_5_14,4,4/17/2022,37
1_1_5_14,3,4/24/2022,38
1_1_5_14,2,5/1/2022,48
1_1_5_14,1,5/8/2022,42
1_1_5_8,157,5/12/2019,191
1_1_5_8,156,5/19/2019,213
1_1_5_8,155,5/26/2019,202
1_1_5_8,154,6/2/2019,186
1_1_5_8,153,6/9/2019,287
1_1_5_8,152,6/16/2019,337
1_1_5_8,151,6/23/2019,366
1_1_5_8,150,6/30/2019,331
1_1_5_8,149,7/7/2019,254
1_1_5_8,148,7/14/2019,247
1_1_5_8,147,7/21/2019,281
1_1_5_8,146,7/28/2019,252
1_1_5_8,145,8/4/2019,270
1_1_5_8,144,8/11/2019,304
1_1_5_8,143,8/18/2019,263
1_1_5_8,142,8/25/2019,256
1_1_5_8,141,9/1/2019,321
1_1_5_8,140,9/8/2019,401
1_1_5_8,139,9/15/2019,334
1_1_5_8,138,9/22/2019,332
1_1_5_8,137,9/29/2019,317
1_1_5_8,136,10/6/2019,293
1_1_5_8,135,10/13/2019,355
1_1_5_8,134,10/20/2019,355
1_1_5_8,133,10/27/2019,370
1_1_5_8,132,11/3/2019,404
1_1_5_8,131,11/10/2019,554
1_1_5_8,130,11/17/2019,634
1_1_5_8,129,11/24/2019,519
1_1_5_8,128,12/1/2019,753
1_1_5_8,127,12/8/2019,1202
1_1_5_8,126,12/15/2019,1325
1_1_5_8,125,12/22/2019,1390
1_1_5_8,124,12/29/2019,569
1_1_5_8,123,1/5/2020,243
1_1_5_8,122,1/12/2020,170
1_1_5_8,121,1/19/2020,153
1_1_5_8,120,1/26/2020,152
1_1_5_8,119,2/2/2020,197
1_1_5_8,118,2/9/2020,242
1_1_5_8,117,2/16/2020,182
1_1_5_8,116,2/23/2020,131
1_1_5_8,115,3/1/2020,135
1_1_5_8,114,3/8/2020,149
1_1_5_8,113,3/15/2020,108
1_1_5_8,112,3/22/2020,44
1_1_5_8,111,3/29/2020,13
1_1_5_8,108,4/19/2020,2
1_1_5_8,107,4/26/2020,5
1_1_5_8,106,5/3/2020,13
1_1_5_8,105,5/10/2020,15
1_1_5_8,104,5/17/2020,15
1_1_5_8,103,5/24/2020,10
1_1_5_8,102,5/31/2020,45
1_1_5_8,101,6/7/2020,51
1_1_5_8,100,6/14/2020,98
1_1_5_8,99,6/21/2020,149
1_1_5_8,98,6/28/2020,139
1_1_5_8,97,7/5/2020,145
1_1_5_8,96,7/12/2020,115
1_1_5_8,95,7/19/2020,174
1_1_5_8,94,7/26/2020,169
1_1_5_8,93,8/2/2020,181
1_1_5_8,92,8/9/2020,236
1_1_5_8,91,8/16/2020,204
1_1_5_8,90,8/23/2020,246
1_1_5_8,89,8/30/2020,331
1_1_5_8,88,9/6/2020,324
1_1_5_8,87,9/13/2020,341
1_1_5_8,86,9/20/2020,386
1_1_5_8,85,9/27/2020,368
1_1_5_8,84,10/4/2020,367
1_1_5_8,83,10/11/2020,444
1_1_5_8,82,10/18/2020,393
1_1_5_8,81,10/25/2020,362
1_1_5_8,80,11/1/2020,411
1_1_5_8,79,11/8/2020,497
1_1_5_8,78,11/15/2020,466
1_1_5_8,77,11/22/2020,420
1_1_5_8,76,11/29/2020,622
1_1_5_8,75,12/6/2020,841
1_1_5_8,74,12/13/2020,1168
1_1_5_8,73,12/20/2020,1250
1_1_5_8,72,12/27/2020,667
1_1_5_8,71,1/3/2021,366
1_1_5_8,70,1/10/2021,240
1_1_5_8,69,1/17/2021,126
1_1_5_8,68,1/24/2021,169
1_1_5_8,67,1/31/2021,193
1_1_5_8,66,2/7/2021,192
